source_file,session,scent,label,gas_trough_d,gas_mean_d,humid_peak_d,humid_mean_d,temp_d
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,-0.30000000000001137,0.04999999999998295,0.01999999999999602,-0.04000000000000625,0.013999999999992241
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,0.060000000000002274,0.4900000000000091,-0.020000000000003126,-0.2700000000000031,0.028000000000005798
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,-0.2599999999999909,0.020000000000010232,0.13999999999999346,0.0899999999999821,0.018000000000000682
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,-0.23999999999999488,0.030000000000001137,0.12999999999999545,0.015000000000000568,0.009000000000003894
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-1.0200000000000102,-0.45999999999999375,0.5600000000000023,0.4000000000000199,0.013999999999999346
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-0.6600000000000108,-0.36000000000001364,0.12000000000000455,-0.06999999999999318,0.03400000000000247
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-0.2600000000000051,0.029999999999972715,0.020000000000003126,-0.14999999999999147,0.03799999999999315
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-0.11999999999999034,0.519999999999996,-0.12000000000000455,-0.3900000000000077,0.04400000000000048
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.36000000000001364,-0.10000000000000853,0.05999999999998806,-0.08000000000001961,0.0589999999999975
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.1700000000000017,0.08500000000002217,0.060000000000002274,-0.0899999999999963,0.030000000000001137
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.1799999999999926,0.025000000000019895,0.29999999999999716,-0.01999999999999602,0.02400000000000091
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.11999999999999034,0.10500000000001819,0.10000000000000142,-0.019999999999988916,0.008499999999997954
smell_black_opium_2026-05-29.csv,black_opium_2026-05-29_t0,black_opium,perfume,-39.29291338582678,-7.385221078134464,1.5055118110236236,0.30038360589541213,-0.19475570361396422
smell_black_opium_2026-05-31.csv,black_opium_2026-05-31_t0,black_opium,perfume,-44.938613861386145,-15.121306169078458,1.737623762376252,0.5978801726326566,-0.16354404671237077
smell_black_opium_2026-06-01.csv,black_opium_2026-06-01_t0,black_opium,perfume,-48.96885245901639,-16.888083228247154,1.48032786885247,0.3155842791088901,-0.07061265237495817
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t0,blackberry_bay,perfume,-50.56229508196722,-22.188577133249268,0.7606557377049157,0.14334804539723223,-0.021297814207660082
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t1,blackberry_bay,perfume,-58.33114754098361,-35.04012189995797,5.94426229508197,2.9487494745691407,-0.76252206809583
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t2,blackberry_bay,perfume,-35.19180327868853,-4.31167507356033,0.5606557377049199,0.07732240437156435,0.0505107187894005
smell_bluebell_2026-06-01.csv,bluebell_2026-06-01_t0,bluebell,perfume,-45.88852459016394,-14.109678436317786,2.53770491803278,0.7742433795712387,-0.19468684321143215
smell_bluebell_2026-06-01.csv,bluebell_2026-06-01_t1,bluebell,perfume,-55.51311475409837,-17.536191677175296,2.9885245901639337,1.2340374106767626,-0.24063051702394844
smell_bluebell_2026-06-01.csv,bluebell_2026-06-01_t2,bluebell,perfume,-19.514754098360648,-2.955779739386294,0.8278688524590194,0.23043295502310457,-0.012518915510732143
smell_orange_2026-05-29.csv,orange_2026-05-29_t0,orange,orange,-20.383606557377043,-16.06501681378731,11.542622950819663,5.975956284153,-0.18573770491803998
smell_orange_2026-05-31.csv,orange_2026-05-31_t0,orange,orange,-24.903278688524587,-18.15712484237074,10.054098360655736,5.559226565783938,-0.08719945355191427
smell_orange_2026-06-01.csv,orange_2026-06-01_t0,orange,orange,-27.541935483870972,-22.945140612076095,11.777419354838706,6.984470636890002,-0.5507154673283665
